Order	Song	Info	Concert	Date
15	Take a Look Around		Limp Bizkit at Zepp Nagoya, Nagoya, Japan	2018-04-02
1	Hot Dog		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
3	Faith	(George Michael cover)	Limp Bizkit at Vans Warped Tour 2018	2018-03-31
4	Bring It Back		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
5	My Generation		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
6	Livin' It Up		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
7	Boiler		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
8	My Way		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
9	Break Stuff		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
10	Take a Look Around		Limp Bizkit at Vans Warped Tour 2018	2018-03-31
1	Hot Dog		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
3	Faith	(George Michael cover)	Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
4	Eat You Alive		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
5	Gold Cobra		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
6	My Generation		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
7	Livin' It Up		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
8	Re-Arranged		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
9	My Way		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
10	Boiler		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
11	I'm Broke		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
12	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
13	Smells Like Teen Spirit	(Nirvana cover) (until first chorus, straight into..)	Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
14	Break Stuff		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
15	Take a Look Around		Limp Bizkit at Riverstage, Brisbane, Australia	2018-03-27
1	Full Nelson		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
2	Hot Dog		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
3	Rollin' (Air Raid Vehicle)		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
4	Eat You Alive		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
5	Thieves	(Ministry cover) (short version)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
6	Bring It Back		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
7	It'll Be OK		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
8	My Generation		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
9	Livin' It Up		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
10	My Way	(with fan on stage)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
11	Faith	(George Michael cover) (with girls on stage)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
12	Break Stuff		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
13	Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
14	Take a Look Around		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2018-03-25
1	Hot Dog		Limp Bizkit at Download Melbourne 2018	2018-03-24
2	Thieves	(Ministry cover) (short version)	Limp Bizkit at Download Melbourne 2018	2018-03-24
3	Rollin' (Air Raid Vehicle)		Limp Bizkit at Download Melbourne 2018	2018-03-24
4	My Generation		Limp Bizkit at Download Melbourne 2018	2018-03-24
5	Livin' It Up		Limp Bizkit at Download Melbourne 2018	2018-03-24
6	My Way		Limp Bizkit at Download Melbourne 2018	2018-03-24
7	Faith	(George Michael cover) (with fan on vocals)	Limp Bizkit at Download Melbourne 2018	2018-03-24
8	Eat You Alive		Limp Bizkit at Download Melbourne 2018	2018-03-24
9	Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Download Melbourne 2018	2018-03-24
10	Break Stuff		Limp Bizkit at Download Melbourne 2018	2018-03-24
11	Take a Look Around		Limp Bizkit at Download Melbourne 2018	2018-03-24
1	Hot Dog		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
3	My Generation		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
4	Livin' It Up		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
5	My Way		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
6	Faith	(George Michael cover)	Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
7	I'm Broke		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
8	Gold Cobra		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
9	Boiler		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
10	Walking Away		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
11	Nookie		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
12	Break Stuff		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
13	Take a Look Around		Limp Bizkit at Adelaide Entertainment Centre, Adelaide, Australia	2018-03-22
1	9 Teen 90 Nine		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
2	My Generation		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
3	Livin' It Up		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
4	Hot Dog		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
6	Gold Cobra		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
7	My Way		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
8	Boiler		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
9	Eat You Alive		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
10	Faith	(George Michael cover)	Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
11	Break Stuff		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
12	Pollution	(Franko Carino on vocals, until first chorus)	Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
13	Take a Look Around		Limp Bizkit at Horncastle Arena, Christchurch, New Zealand	2018-03-19
1	Thieves	(Ministry cover) (short version)	Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
3	Hot Dog		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
4	My Generation		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
5	Livin' It Up		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
6	My Way		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
7	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
8	Nookie		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
9	Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
10	Break Stuff		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
11	Take a Look Around		Limp Bizkit at Storm The Gates Festival 2018	2018-03-17
1	Thieves	(Ministry cover)	Limp Bizkit at EXPO 2017	2017-08-12
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at EXPO 2017	2017-08-12
3	Hot Dog		Limp Bizkit at EXPO 2017	2017-08-12
4	Bring It Back		Limp Bizkit at EXPO 2017	2017-08-12
5	Gold Cobra		Limp Bizkit at EXPO 2017	2017-08-12
6	My Generation		Limp Bizkit at EXPO 2017	2017-08-12
7	Livin' It Up		Limp Bizkit at EXPO 2017	2017-08-12
8	Eat You Alive		Limp Bizkit at EXPO 2017	2017-08-12
9	My Way		Limp Bizkit at EXPO 2017	2017-08-12
10	Re-Arranged		Limp Bizkit at EXPO 2017	2017-08-12
11	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at EXPO 2017	2017-08-12
12	Nookie		Limp Bizkit at EXPO 2017	2017-08-12
13	Break Stuff		Limp Bizkit at EXPO 2017	2017-08-12
14	Take a Look Around		Limp Bizkit at EXPO 2017	2017-08-12
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
2	Hot Dog		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
3	Bring It Back		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
4	Faith	(George Michael cover) (with Less Than Human)	Limp Bizkit at Festival of the Lakes 2017	2017-07-21
5	Eat You Alive		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
6	Behind Blue Eyes	(The Who cover) (Fred led the crowd in a sing-a-long)	Limp Bizkit at Festival of the Lakes 2017	2017-07-21
7	Killing in the Name	(Rage Against the Machine cover) (Restarted after false start because Wes's guitar wasn't working)	Limp Bizkit at Festival of the Lakes 2017	2017-07-21
8	Covers Medley		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
9	Break Stuff		Limp Bizkit at Festival of the Lakes 2017	2017-07-21
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
2	My Generation	(Fred walked around the venue during the bridge.)	Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
3	Break Stuff		Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
4	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
5	My Way		Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
6	Faith	(George Michael cover) (with fans onstage)	Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
7	N 2 Gether Now	(with Method Man)	Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
8	Take a Look Around		Limp Bizkit at Drai's Beachclub & Nightclub, Las Vegas, NV, USA	2017-04-02
1	Hot Dog		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
3	Mother	(Danzig cover) (sung by crew member Gabe Karon)	Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
4	My Generation		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
5	Livin' It Up		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
6	Eat You Alive		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
7	Nookie		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
8	Take a Look Around	(assembled audience band Limp Dick)	Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
9	My Way		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
10	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
11	Break Stuff		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
12	Take a Look Around		Limp Bizkit at Motorpoint Arena, Nottingham, England	2016-12-19
1	Hot Dog		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
3	Nookie		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
4	My Generation		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
5	Livin' It Up	(fan on stage from bridge onwards)	Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
6	Re-Arranged	(first full performance since 2012)	Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
7	N 2 Gether Now	(until first chorus)	Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
8	My Way		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
9	Pollution / Counterfeit / Stuck		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
10	Faith	(George Michael cover)	Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
11	Break Stuff		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
12	Take a Look Around		Limp Bizkit at Motorpoint Arena Cardiff, Cardiff, Wales	2016-12-18
1	Hot Dog		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
3	Full Nelson		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
4	My Generation	(w/Metallica "And Justice for All" & "Master of Puppets" instrumental snippets in the beginning)	Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
5	Livin' It Up		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
6	Gold Cobra		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
7	Eat You Alive		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
8	My Way		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
9	N 2 Gether Now	(cut off at Method Man's rap)	Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
10	Faith	(George Michael cover)	Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
11	Break Stuff	(w/Pantera "Cowboys from Hell" & GNR "Welcome to the Jungle" instrumental snippets in the beginning)	Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
12	Take a Look Around		Limp Bizkit at The SSE Arena, Wembley, London, England	2016-12-16
1	Hot Dog		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
3	Full Nelson		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
4	My Generation		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
5	Livin' It Up		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
6	Eat You Alive		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
7	My Way		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
8	N 2 Gether Now	(Until first chorus)	Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
9	Faith	(George Michael cover)	Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
10	Break Stuff		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
11	Take a Look Around		Limp Bizkit at Barclaycard Arena, Birmingham, England	2016-12-15
1	Hot Dog	(preceeded by Douche Bag intro multiple times)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
3	Gold Cobra		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
4	My Generation		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
5	Livin' It Up		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
6	Nookie	(until second chorus into..)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
7	Full Nelson		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
8	My Way	(Two girls from crowd up dancing on stage)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
9	N 2 Gether Now	(first time since 2014, until first chorus)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
10	Faith	(George Michael cover)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
11	Covers Medley	(Master of Puppets and Creeping Death. With Guitar Solo and Band Jam)	Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
12	Break Stuff		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
13	Take a Look Around		Limp Bizkit at The SSE Hydro, Glasgow, Scotland	2016-12-14
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
2	Hot Dog		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
3	My Generation		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
4	Livin' It Up		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
5	Boiler		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
6	My Way		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
7	Nookie	(until second chorus)	Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
8	Full Nelson		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
9	Faith	(George Michael cover)	Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
10	Break Stuff		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
11	Take a Look Around		Limp Bizkit at Manchester Arena, Manchester, England	2016-12-12
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Capital of Rock 2016	2016-08-27
2	Hot Dog	(with Metallica's "Sad But True" snippet)	Limp Bizkit at Capital of Rock 2016	2016-08-27
3	Gold Cobra		Limp Bizkit at Capital of Rock 2016	2016-08-27
4	My Generation		Limp Bizkit at Capital of Rock 2016	2016-08-27
5	Livin' It Up		Limp Bizkit at Capital of Rock 2016	2016-08-27
6	Eat You Alive		Limp Bizkit at Capital of Rock 2016	2016-08-27
7	Faith	(George Michael cover) (with Rammstein's "Du hast" introduction)	Limp Bizkit at Capital of Rock 2016	2016-08-27
8	Nookie		Limp Bizkit at Capital of Rock 2016	2016-08-27
9	My Way		Limp Bizkit at Capital of Rock 2016	2016-08-27
10	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Capital of Rock 2016	2016-08-27
11	Break Stuff		Limp Bizkit at Capital of Rock 2016	2016-08-27
12	Take a Look Around		Limp Bizkit at Capital of Rock 2016	2016-08-27
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Reload Festival 2016	2016-08-26
2	Hot Dog		Limp Bizkit at Reload Festival 2016	2016-08-26
3	My Generation		Limp Bizkit at Reload Festival 2016	2016-08-26
4	Eat You Alive		Limp Bizkit at Reload Festival 2016	2016-08-26
5	Faith	(George Michael cover)	Limp Bizkit at Reload Festival 2016	2016-08-26
6	Nookie		Limp Bizkit at Reload Festival 2016	2016-08-26
7	My Way		Limp Bizkit at Reload Festival 2016	2016-08-26
8	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Reload Festival 2016	2016-08-26
9	Break Stuff		Limp Bizkit at Reload Festival 2016	2016-08-26
10	Take a Look Around		Limp Bizkit at Reload Festival 2016	2016-08-26
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
2	Hot Dog		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
3	My Generation		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
4	Livin' It Up		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
5	Gold Cobra		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
6	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Chiemsee Summer 2016	2016-08-24
7	Break Stuff		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
8	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Chiemsee Summer 2016	2016-08-24
9	Take a Look Around		Limp Bizkit at Chiemsee Summer 2016	2016-08-24
1	Show Me What You Got		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
2	Rollin' (Air Raid Vehicle)	(with Metallica's Master of Puppets snippet)	Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
3	Hot Dog	(with Metallica's Sad But True snipped)	Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
4	Gold Cobra		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
5	My Generation		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
6	Livin' It Up		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
7	Eat You Alive		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
8	Faith	(George Michael cover) (with Guns N'Roses Sweet Child O'Mine snipped)	Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
9	Boiler		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
10	My Way		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
11	Nookie		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
12	Full Nelson		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
13	Break Stuff		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
14	Take a Look Around		Limp Bizkit at Komplex 457, Zurich, Switzerland	2016-08-23
1	Rollin' (Air Raid Vehicle)	(with Metallica's Master of Puppets snippet)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
2	Hot Dog	(with Metallica's Sad But True first verse and chorus during the bridge)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
3	Gold Cobra		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
4	My Generation		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
5	Livin' It Up	(w/unknown song at the beginning)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
6	Eat You Alive		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
7	Boiler		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
8	Faith	(George Michael cover)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
9	My Way	(w/"It'll be Ok" main riff as intro)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
10	Nookie		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
11	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
12	Break Stuff		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
13	Take a Look Around		Limp Bizkit at Carroponte, Sesto San Giovanni, Italy	2016-08-22
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
2	Hot Dog	(with Metallica's "Sad but True" snippet on the bridge)	Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
3	My Generation		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
4	Livin' It Up		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
5	Bring It Back		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
6	Faith	(George Michael cover)	Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
7	My Way		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
8	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
9	Break Stuff		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
10	Take a Look Around		Limp Bizkit at FM4 Frequency Festival 2016	2016-08-20
1	Thieves	(Ministry cover)	Limp Bizkit at Highfield Festival 2016	2016-08-19
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Highfield Festival 2016	2016-08-19
3	Hot Dog	(with Metallica's 'Sad but True' during the bridge)	Limp Bizkit at Highfield Festival 2016	2016-08-19
4	My Generation		Limp Bizkit at Highfield Festival 2016	2016-08-19
5	Livin' It Up		Limp Bizkit at Highfield Festival 2016	2016-08-19
6	Eat You Alive		Limp Bizkit at Highfield Festival 2016	2016-08-19
7	Faith	(George Michael cover)	Limp Bizkit at Highfield Festival 2016	2016-08-19
8	My Way		Limp Bizkit at Highfield Festival 2016	2016-08-19
9	Nookie		Limp Bizkit at Highfield Festival 2016	2016-08-19
10	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Highfield Festival 2016	2016-08-19
11	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Highfield Festival 2016	2016-08-19
12	Break Stuff		Limp Bizkit at Highfield Festival 2016	2016-08-19
13	Take a Look Around		Limp Bizkit at Highfield Festival 2016	2016-08-19
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
2	Break Stuff		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
3	Hot Dog	(with Sad But True jam by Metallica during the bridge)	Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
4	Get a Life	(Until the bridge)	Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
5	Bring It Back		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
6	My Generation		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
7	Livin' It Up		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
8	I'm Broke		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
9	Eat You Alive		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
10	My Way		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
11	Nookie		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
12	Walking Away		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
13	Boiler		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
14	Faith	(George Michael cover)	Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
15	Take a Look Around		Limp Bizkit at Mitsubishi Electric Halle, Düsseldorf, Germany	2016-08-16
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Open Flair 2016	2016-08-14
2	Break Stuff		Limp Bizkit at Open Flair 2016	2016-08-14
3	Hot Dog		Limp Bizkit at Open Flair 2016	2016-08-14
4	My Way		Limp Bizkit at Open Flair 2016	2016-08-14
5	My Generation		Limp Bizkit at Open Flair 2016	2016-08-14
6	Livin' It Up		Limp Bizkit at Open Flair 2016	2016-08-14
7	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Open Flair 2016	2016-08-14
8	Faith	(George Michael cover)	Limp Bizkit at Open Flair 2016	2016-08-14
9	Gold Cobra		Limp Bizkit at Open Flair 2016	2016-08-14
10	Nookie		Limp Bizkit at Open Flair 2016	2016-08-14
11	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Open Flair 2016	2016-08-14
12	Take a Look Around		Limp Bizkit at Open Flair 2016	2016-08-14
1	Rollin' (Air Raid Vehicle)		Limp Bizkit at Rocco del Schlacko 2016	2016-08-13
