Order	Song	Info	Concert	Date
8	My Generation		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
9	Nookie		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
10	Full Nelson		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
11	Re-Arranged		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
12	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
13	Take a Look Around		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
14	Boiler		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
15	Faith	(George Michael cover)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
16	Break Stuff		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
1	Break Stuff		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
2	Show Me What You Got		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
3	Hot Dog		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
5	My Way		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
6	My Generation		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
7	Take a Look Around		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
8	Nookie		Limp Bizkit at Good Things Brisbane 2023	2023-12-03
9	Re-Arranged	(until the bridge)	Limp Bizkit at Good Things Brisbane 2023	2023-12-03
10	Break Stuff	(Reprise)	Limp Bizkit at Good Things Brisbane 2023	2023-12-03
1	Break Stuff		Limp Bizkit at Good Things Sydney 2023	2023-12-02
2	Show Me What You Got		Limp Bizkit at Good Things Sydney 2023	2023-12-02
3	Hot Dog		Limp Bizkit at Good Things Sydney 2023	2023-12-02
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Sydney 2023	2023-12-02
5	My Way		Limp Bizkit at Good Things Sydney 2023	2023-12-02
6	Walk	(Pantera cover)	Limp Bizkit at Good Things Sydney 2023	2023-12-02
7	Jump Around	(House of Pain cover)	Limp Bizkit at Good Things Sydney 2023	2023-12-02
8	My Generation		Limp Bizkit at Good Things Sydney 2023	2023-12-02
9	Take a Look Around		Limp Bizkit at Good Things Sydney 2023	2023-12-02
10	Nookie		Limp Bizkit at Good Things Sydney 2023	2023-12-02
11	Full Nelson		Limp Bizkit at Good Things Sydney 2023	2023-12-02
12	Faith	(George Michael cover)	Limp Bizkit at Good Things Sydney 2023	2023-12-02
13	Break Stuff	(Reprise)	Limp Bizkit at Good Things Sydney 2023	2023-12-02
1	Break Stuff	(With Creeping Death snippet)	Limp Bizkit at Good Things Melbourne 2023	2023-12-01
2	Hot Dog		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
