Song	Notes	Show
Hot Dog		Limp Bizkit at Good Things Melbourne 2023
My Generation		Limp Bizkit at Good Things Melbourne 2023
Livin' It Up		Limp Bizkit at Good Things Melbourne 2023
Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Melbourne 2023
My Way		Limp Bizkit at Good Things Melbourne 2023
Faith	(George Michael cover) (Song stopped in order for medical assistance to be provided to a fan)	Limp Bizkit at Good Things Melbourne 2023
Nookie		Limp Bizkit at Good Things Melbourne 2023
Full Nelson		Limp Bizkit at Good Things Melbourne 2023
Take a Look Around		Limp Bizkit at Good Things Melbourne 2023
Break Stuff	(Reprise)	Limp Bizkit at Good Things Melbourne 2023
My Generation		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Hot Dog		Limp Bizkit at Hordern Pavilion, Sydney, Australia
9 Teen 90 Nine		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Rollin' (Air Raid Vehicle)		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Gold Cobra		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Thieves	(Ministry cover) (partial)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
My Way		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Faith	(George Michael cover)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Take a Look Around	(with 'Turn It Up, Bitch' tease intro)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Nookie	(until the bridge)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Full Nelson		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Boiler		Limp Bizkit at Hordern Pavilion, Sydney, Australia
Re-Arranged	(with 'Sour' tease intro)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Break Stuff	(With Yukina from Hanabie.)	Limp Bizkit at Hordern Pavilion, Sydney, Australia
Show Me What You Got		Limp Bizkit at Spark Arena, Auckland, New Zealand
9 Teen 90 Nine		Limp Bizkit at Spark Arena, Auckland, New Zealand
Hot Dog		Limp Bizkit at Spark Arena, Auckland, New Zealand
Rollin' (Air Raid Vehicle)		Limp Bizkit at Spark Arena, Auckland, New Zealand
My Generation		Limp Bizkit at Spark Arena, Auckland, New Zealand
Re-Arranged	(preceded by 'Stuck' tease, until the bridge)	Limp Bizkit at Spark Arena, Auckland, New Zealand
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand
Dirty Rotten Bizkit		Limp Bizkit at Spark Arena, Auckland, New Zealand
Boiler		Limp Bizkit at Spark Arena, Auckland, New Zealand
My Way		Limp Bizkit at Spark Arena, Auckland, New Zealand
Nookie		Limp Bizkit at Spark Arena, Auckland, New Zealand
Faith	(George Michael cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand
Take a Look Around		Limp Bizkit at Spark Arena, Auckland, New Zealand
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand
Break Stuff		Limp Bizkit at Spark Arena, Auckland, New Zealand
Barnacle	(first time opening a show)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
9 Teen 90 Nine		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Show Me What You Got		Limp Bizkit at Toyosu PIT, Tokyo, Japan
I'm Broke	(without the final chorus)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Dirty Rotten Bizkit		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Rollin' (Air Raid Vehicle)		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Hot Dog		Limp Bizkit at Toyosu PIT, Tokyo, Japan
My Generation		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Covers Medley	(Master of Puppets/Seek & Destroy/South of Heaven/Holy Wars)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Gold Cobra		Limp Bizkit at Toyosu PIT, Tokyo, Japan
My Way	(with extended intro)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Nookie	(until the second chorus)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Full Nelson	(with a fan)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Break Stuff		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Toyosu PIT, Tokyo, Japan
Take a Look Around		Limp Bizkit at Toyosu PIT, Tokyo, Japan
Out of Style		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Dirty Rotten Bizkit	(followed by 'Master of Puppets' snippet)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Hot Dog		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Rollin' (Air Raid Vehicle)		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Dad Vibes		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
My Generation		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Livin' It Up		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
My Way		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Nookie	(until the second chorus)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Full Nelson		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Boiler		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Faith	(George Michael cover)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Counterfeit / Pollution		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Take a Look Around		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Break Stuff		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan
Break Stuff	(Included a riff from Creeping Death)	Limp Bizkit at Aftershock 2023
Hot Dog		Limp Bizkit at Aftershock 2023
My Generation	(with extended intro)	Limp Bizkit at Aftershock 2023
Livin' It Up		Limp Bizkit at Aftershock 2023
Rollin' (Air Raid Vehicle)	(preceded by 'Master of Puppets' snippet)	Limp Bizkit at Aftershock 2023
Nookie	(with extended intro)	Limp Bizkit at Aftershock 2023
Full Nelson	"(A young fan named ""Ronnie"" was invite on stage to sing with Fred)"	Limp Bizkit at Aftershock 2023
My Way		Limp Bizkit at Aftershock 2023
Thieves	(Ministry cover) (Instrumental)	Limp Bizkit at Aftershock 2023
Take a Look Around		Limp Bizkit at Aftershock 2023
Break Stuff	(Fred Durst wanted to open and close set with Break Stuff)	Limp Bizkit at Aftershock 2023
Blind	(Korn cover) (Wes Borland on vocals, Fred on guitar, Sam on turntables, John on bass, Lethal on drums)	Limp Bizkit at Louder than Life 2023
Show Me What You Got		Limp Bizkit at Louder than Life 2023
Thieves	(Ministry cover) (Instrumental)	Limp Bizkit at Louder than Life 2023
Hot Dog		Limp Bizkit at Louder than Life 2023
Rollin' (Air Raid Vehicle)		Limp Bizkit at Louder than Life 2023
My Generation		Limp Bizkit at Louder than Life 2023
Livin' It Up		Limp Bizkit at Louder than Life 2023
My Way		Limp Bizkit at Louder than Life 2023
Take a Look Around	(with Sam Matlock) (Sam came out before 2nd verse)	Limp Bizkit at Louder than Life 2023
Nookie		Limp Bizkit at Louder than Life 2023
Full Nelson	(with Milkie Way)	Limp Bizkit at Louder than Life 2023
